Timestamp,Sensor1,Sensor2,label,Subject
2025-03-20 12:05:15,113,215,Normal Standing,Andrea
2025-03-20 12:05:15,113,214,Normal Standing,Andrea
2025-03-20 12:05:16,112,214,Normal Standing,Andrea
2025-03-20 12:05:16,113,211,Normal Standing,Andrea
2025-03-20 12:05:16,112,216,Normal Standing,Andrea
2025-03-20 12:05:16,115,216,Normal Standing,Andrea
2025-03-20 12:05:16,116,214,Normal Standing,Andrea
2025-03-20 12:05:16,118,215,Normal Standing,Andrea
2025-03-20 12:05:17,115,217,Normal Standing,Andrea
2025-03-20 12:05:17,113,216,Normal Standing,Andrea
2025-03-20 12:05:17,113,222,Normal Standing,Andrea
2025-03-20 12:05:17,114,223,Normal Standing,Andrea
2025-03-20 12:05:17,115,215,Normal Standing,Andrea
2025-03-20 12:05:17,119,217,Normal Standing,Andrea
2025-03-20 12:05:17,111,216,Normal Standing,Andrea
2025-03-20 12:05:18,118,212,Normal Standing,Andrea
2025-03-20 12:05:18,115,214,Normal Standing,Andrea
2025-03-20 12:05:18,116,212,Normal Standing,Andrea
2025-03-20 12:05:18,117,216,Normal Standing,Andrea
2025-03-20 12:05:18,115,217,Normal Standing,Andrea
2025-03-20 12:05:18,117,222,Normal Standing,Andrea
2025-03-20 12:05:18,115,222,Normal Standing,Andrea
2025-03-20 12:05:19,115,216,Normal Standing,Andrea
2025-03-20 12:05:19,113,215,Normal Standing,Andrea
2025-03-20 12:05:19,114,219,Normal Standing,Andrea
2025-03-20 12:05:19,115,219,Normal Standing,Andrea
2025-03-20 12:05:19,115,213,Normal Standing,Andrea
2025-03-20 12:05:19,118,216,Normal Standing,Andrea
2025-03-20 12:05:20,113,214,Normal Standing,Andrea
2025-03-20 12:05:20,113,215,Normal Standing,Andrea
2025-03-20 12:05:20,113,210,Normal Standing,Andrea
2025-03-20 12:05:20,112,206,Normal Standing,Andrea
2025-03-20 12:05:20,113,206,Normal Standing,Andrea
2025-03-20 12:05:20,118,207,Normal Standing,Andrea
2025-03-20 12:05:21,115,210,Normal Standing,Andrea
2025-03-20 12:05:21,110,208,Normal Standing,Andrea
2025-03-20 12:05:21,116,212,Normal Standing,Andrea
2025-03-20 12:05:21,117,212,Normal Standing,Andrea
2025-03-20 12:05:21,117,212,Normal Standing,Andrea
2025-03-20 12:05:21,116,213,Normal Standing,Andrea
2025-03-20 12:05:22,116,217,Normal Standing,Andrea
2025-03-20 12:05:22,115,220,Normal Standing,Andrea
2025-03-20 12:05:22,116,221,Normal Standing,Andrea
2025-03-20 12:05:22,114,221,Normal Standing,Andrea
2025-03-20 12:05:22,115,217,Normal Standing,Andrea
2025-03-20 12:05:22,114,211,Normal Standing,Andrea
2025-03-20 12:05:22,113,216,Normal Standing,Andrea
2025-03-20 12:05:23,109,215,Normal Standing,Andrea
2025-03-20 12:05:23,115,216,Normal Standing,Andrea
2025-03-20 12:05:23,113,213,Normal Standing,Andrea
2025-03-20 12:05:23,116,214,Normal Standing,Andrea
2025-03-20 12:05:23,120,215,Normal Standing,Andrea
2025-03-20 12:05:23,116,212,Normal Standing,Andrea
2025-03-20 12:05:23,116,213,Normal Standing,Andrea
2025-03-20 12:05:24,117,214,Normal Standing,Andrea
2025-03-20 12:05:24,116,210,Normal Standing,Andrea
2025-03-20 12:05:24,116,215,Normal Standing,Andrea
2025-03-20 12:05:24,116,217,Normal Standing,Andrea
2025-03-20 12:05:24,118,214,Normal Standing,Andrea
2025-03-20 12:05:24,112,214,Normal Standing,Andrea
2025-03-20 12:05:25,118,214,Normal Standing,Andrea
2025-03-20 12:05:25,117,215,Normal Standing,Andrea
2025-03-20 12:05:25,116,214,Normal Standing,Andrea
2025-03-20 12:05:25,115,211,Normal Standing,Andrea
2025-03-20 12:05:25,114,214,Normal Standing,Andrea
2025-03-20 12:05:25,113,211,Normal Standing,Andrea
2025-03-20 12:05:25,115,214,Normal Standing,Andrea
2025-03-20 12:05:26,115,214,Normal Standing,Andrea
2025-03-20 12:05:26,112,214,Normal Standing,Andrea
2025-03-20 12:05:26,114,209,Normal Standing,Andrea
2025-03-20 12:05:26,115,214,Normal Standing,Andrea
2025-03-20 12:05:26,112,211,Normal Standing,Andrea
2025-03-20 12:05:26,115,219,Normal Standing,Andrea
2025-03-20 12:05:27,113,213,Normal Standing,Andrea
2025-03-20 12:05:27,117,213,Normal Standing,Andrea
2025-03-20 12:05:27,120,216,Normal Standing,Andrea
2025-03-20 12:05:27,118,215,Normal Standing,Andrea
2025-03-20 12:05:27,116,215,Normal Standing,Andrea
2025-03-20 12:05:27,122,216,Normal Standing,Andrea
2025-03-20 12:05:27,117,218,Normal Standing,Andrea
2025-03-20 12:05:28,118,215,Normal Standing,Andrea
2025-03-20 12:05:28,116,214,Normal Standing,Andrea
2025-03-20 12:05:28,109,215,Normal Standing,Andrea
2025-03-20 12:05:28,119,215,Normal Standing,Andrea
2025-03-20 12:05:28,117,215,Normal Standing,Andrea
2025-03-20 12:05:28,118,219,Normal Standing,Andrea
2025-03-20 12:05:29,118,216,Normal Standing,Andrea
2025-03-20 12:05:29,119,216,Normal Standing,Andrea
2025-03-20 12:05:29,117,217,Normal Standing,Andrea
2025-03-20 12:05:29,117,216,Normal Standing,Andrea
2025-03-20 12:05:29,117,214,Normal Standing,Andrea
2025-03-20 12:05:29,117,217,Normal Standing,Andrea
2025-03-20 12:05:29,115,214,Normal Standing,Andrea
2025-03-20 12:05:30,119,218,Normal Standing,Andrea
2025-03-20 12:05:30,119,218,Normal Standing,Andrea
2025-03-20 12:05:30,119,219,Normal Standing,Andrea
2025-03-20 12:05:30,125,217,Normal Standing,Andrea
2025-03-20 12:05:30,119,220,Normal Standing,Andrea
